# Alpine Analytics - Verified Trade History
# Generated: 2025-11-10 19:06:53 UTC
# Period: 2006-01-20 to 2025-11-10
# Total Trades: 4374
# Wins: 1979 (45.2%)
# Losses: 2395
# Total Return: +565.5%
# CAGR: 9.94%
# Max Drawdown: -36.1%
# 
# VERIFICATION INSTRUCTIONS:
# 1. Each row has a unique verification_hash (first 16 chars of SHA-256)
# 2. Full methodology: https://alpineanalytics.com/methodology
# 3. Verification guide: https://alpineanalytics.com/verify
# 4. Report issues: verify@alpineanalytics.com
#
# DISCLAIMER:
# Past performance does not guarantee future results.
# Trading involves substantial risk of loss.
# For educational purposes only. Not financial advice.
#
trade_id,entry_date,exit_date,symbol,entry_price,exit_price,pnl_percent,confidence_score,exit_reason,days_held,verification_hash
30,2006-03-16T00:00:00-05:00,2006-03-30,MSFT,19.12,19.09,-0.17,89.9,TIME,10,9a3685f978b0a7a5
31,2006-03-17T00:00:00-05:00,2006-03-22,MSFT,19.28,18.79,-2.54,97.7,STOP,3,a56e81d2636a3f0f
32,2006-03-20T00:00:00-05:00,2006-03-22,NFLX,3.87,4.02,3.88,89.5,TARGET,2,829578f948be39b7
33,2006-03-21T00:00:00-05:00,2006-04-04,SPY,90.08,90.75,0.75,90.4,TIME,10,6cdb2c411111706d
34,2006-03-21T00:00:00-05:00,2006-03-22,MSFT,19.44,18.96,-2.47,88.2,STOP,1,219e8608b1df42a7
35,2006-03-21T00:00:00-05:00,2006-03-22,NVDA,0.39,0.38,-2.56,95.8,STOP,1,c37a1e02d7288bcd
36,2006-03-22T00:00:00-05:00,2006-03-24,NVDA,0.38,0.39,2.63,94.1,TARGET,2,a5c5d387660fe8d0
37,2006-03-22T00:00:00-05:00,2006-04-05,MSFT,19.03,19.44,2.18,98.0,TIME,10,78da7493a5320ea2
38,2006-03-28T00:00:00-05:00,2006-04-11,SPY,89.82,89.42,-0.45,89.2,TIME,10,c4209e5bf48a163f
39,2006-03-29T00:00:00-05:00,2006-04-12,QQQ,35.95,35.96,0.03,88.6,TIME,10,5f006c452f4cdabb
40,2006-04-03T00:00:00-04:00,2006-04-04,NFLX,4.02,3.92,-2.49,88.9,STOP,1,f924dd256e98729d
41,2006-04-04T00:00:00-04:00,2006-04-05,NFLX,3.92,4.07,3.83,93.6,TARGET,1,fc0c1970517c78a3
42,2006-04-05T00:00:00-04:00,2006-04-07,NFLX,4.09,3.99,-2.44,95.4,STOP,2,752adc99a487939c
43,2006-04-07T00:00:00-04:00,2006-04-24,QQQ,36.29,35.98,-0.84,87.5,TIME,10,93844242d65572a4
44,2006-04-07T00:00:00-04:00,2006-04-24,SPY,90.04,91.0,1.06,88.7,TIME,10,bbe5f4bf286a5b24
45,2006-04-18T00:00:00-04:00,2006-04-21,NVDA,0.44,0.43,-2.27,88.6,STOP,3,27a6f495489ecf13
46,2006-04-18T00:00:00-04:00,2006-04-19,NFLX,4.26,4.43,3.99,87.0,TARGET,1,f547e0e17337f38d
47,2006-04-18T00:00:00-04:00,2006-05-02,SPY,90.85,91.32,0.52,90.3,TIME,10,716a5855d572873f
48,2006-04-18T00:00:00-04:00,2006-05-01,QQQ,36.41,35.5,-2.5,88.4,STOP,9,825781fa5952a890
49,2006-04-19T00:00:00-04:00,2006-04-20,NFLX,4.44,4.33,-2.48,98.0,STOP,1,709ed809b81aeee5
50,2006-04-19T00:00:00-04:00,2006-05-03,SPY,91.02,90.98,-0.04,89.4,TIME,10,24b9d885d11f3148
51,2006-04-20T00:00:00-04:00,2006-05-04,SPY,91.15,91.31,0.18,88.8,TIME,10,843556d0cbc1f278
52,2006-04-20T00:00:00-04:00,2006-04-24,AAPL,2.03,1.98,-2.46,88.2,STOP,2,3e0e751d28d590d6
53,2006-04-21T00:00:00-04:00,2006-05-05,QQQ,36.02,36.16,0.38,89.3,TIME,10,3c4da112bdd83594
54,2006-04-25T00:00:00-04:00,2006-05-09,SPY,90.62,92.19,1.73,87.7,TIME,10,0fd57bc3b60998a7
55,2006-04-27T00:00:00-04:00,2006-05-11,SPY,91.08,91.02,-0.06,93.1,TIME,10,fca95935fbdc8e34
56,2006-04-27T00:00:00-04:00,2006-05-11,QQQ,36.24,35.34,-2.48,93.7,STOP,10,5719925296a62bdc
57,2006-04-28T00:00:00-04:00,2006-05-09,NFLX,4.23,4.4,4.02,88.9,TARGET,7,c9b8025d01342466
58,2006-05-01T00:00:00-04:00,2006-05-10,NVDA,0.47,0.46,-2.13,87.7,STOP,7,10bd34eac9c0d020
59,2006-05-02T00:00:00-04:00,2006-05-10,GOOGL,9.81,10.2,3.98,88.1,TARGET,6,8a73de0c612824e2
60,2006-05-09T00:00:00-04:00,2006-05-11,NFLX,4.39,4.28,-2.51,89.2,STOP,2,ef27cd8d8fb6a02d
61,2006-05-10T00:00:00-04:00,2006-05-11,NVDA,0.45,0.44,-2.22,87.8,STOP,1,330fb81fa6cbc559
62,2006-05-11T00:00:00-04:00,2006-05-12,NVDA,0.44,0.42,-4.55,94.4,STOP,1,9373e0a0d4d5561a
63,2006-05-11T00:00:00-04:00,2006-05-17,SPY,91.02,88.75,-2.49,87.2,STOP,4,9d8ae544932255bc
64,2006-06-21T00:00:00-04:00,2006-06-22,GOOGL,9.99,9.74,-2.5,87.4,STOP,1,f2a3ded297d38810
65,2006-06-21T00:00:00-04:00,2006-06-29,AMZN,1.83,1.91,4.37,88.9,TARGET,6,8a8646a25ee4b656
66,2006-07-11T00:00:00-04:00,2006-07-12,AMZN,1.78,1.74,-2.25,87.4,STOP,1,eb3455ea12e072ad
67,2006-07-13T00:00:00-04:00,2006-07-14,GOOGL,10.16,9.91,-2.46,87.9,STOP,1,f1602756df951331
68,2006-07-14T00:00:00-04:00,2006-07-20,GOOGL,10.03,9.78,-2.49,89.0,STOP,4,92ecf3a22eb11575
69,2006-07-18T00:00:00-04:00,2006-07-20,GOOGL,10.02,9.77,-2.5,90.6,STOP,2,0d0a789143a8ac2d
70,2006-07-19T00:00:00-04:00,2006-07-20,GOOGL,9.92,9.67,-2.52,90.0,STOP,1,f1150522f95054a1
71,2006-07-21T00:00:00-04:00,2006-08-04,MSFT,16.8,17.09,1.74,98.0,TIME,10,eb5400a25961974b
72,2006-08-11T00:00:00-04:00,2006-08-15,NVDA,0.36,0.37,2.78,96.1,TARGET,2,4cd7b8ed8eb21eec
73,2006-09-05T00:00:00-04:00,2006-09-13,AAPL,2.15,2.23,3.72,89.4,TARGET,6,d39eed90bb62cb3e
74,2006-09-06T00:00:00-04:00,2006-09-07,AAPL,2.1,2.19,4.29,88.8,TARGET,1,3e07dfb777190fa3
75,2006-09-07T00:00:00-04:00,2006-09-20,AAPL,2.19,2.27,3.65,92.6,TARGET,9,2c365c5a725207a3
76,2006-09-07T00:00:00-04:00,2006-09-08,AMD,24.59,25.57,3.99,90.1,TARGET,1,a3d3576221bdd254
77,2006-09-07T00:00:00-04:00,2006-09-21,SPY,90.7,92.47,1.96,89.9,TIME,10,c16c3636f10cbc72
78,2006-09-07T00:00:00-04:00,2006-09-14,QQQ,33.03,34.35,4.0,87.2,TARGET,5,182bb30150e9a64e
79,2006-09-08T00:00:00-04:00,2006-09-20,AAPL,2.18,2.26,3.67,87.3,TARGET,8,50058d5b7ccea830
80,2006-09-11T00:00:00-04:00,2006-09-20,QQQ,33.43,34.77,4.01,89.6,TARGET,7,44dc716fd699dbdc
81,2006-09-12T00:00:00-04:00,2006-09-20,AAPL,2.18,2.27,4.13,96.4,TARGET,6,cf3210c37775479f
82,2006-09-12T00:00:00-04:00,2006-09-15,GOOGL,9.74,10.13,4.0,88.1,TARGET,3,eef7625d9c4ae76e
83,2006-09-12T00:00:00-04:00,2006-09-26,QQQ,34.05,35.01,2.81,87.6,TIME,10,887b64d9bdbf4859
84,2006-09-14T00:00:00-04:00,2006-09-27,MSFT,18.6,19.34,3.98,89.4,TARGET,9,fc21ad875e545853
85,2006-09-15T00:00:00-04:00,2006-09-20,NVDA,0.45,0.47,4.44,87.0,TARGET,3,6f5f581c38ccb6f0
86,2006-09-18T00:00:00-04:00,2006-09-19,NVDA,0.47,0.46,-2.13,89.5,STOP,1,cde3dbfefecc8bc9
87,2006-09-19T00:00:00-04:00,2006-09-20,NVDA,0.46,0.47,2.17,87.7,TARGET,1,46b78140e22464f2
88,2006-09-19T00:00:00-04:00,2006-10-03,GOOGL,10.04,10.04,0.02,98.0,TIME,10,54097218adc607be
89,2006-09-19T00:00:00-04:00,2006-09-20,AMZN,1.58,1.64,3.8,88.1,TARGET,1,a6f9d394fe90a137
90,2006-09-19T00:00:00-04:00,2006-10-03,SPY,92.43,93.52,1.18,90.3,TIME,10,1fa9bf75061811d4
91,2006-09-19T00:00:00-04:00,2006-10-03,QQQ,34.22,34.61,1.15,90.6,TIME,10,7f525e9d23e7c476
92,2006-09-20T00:00:00-04:00,2006-10-04,GOOGL,9.87,10.26,3.95,92.2,TARGET,10,b245b5f039502ffa
93,2006-09-20T00:00:00-04:00,2006-09-21,AMZN,1.61,1.57,-2.48,87.6,STOP,1,05225313eca553a3
94,2006-09-20T00:00:00-04:00,2006-10-04,SPY,92.92,94.61,1.82,87.3,TIME,10,49dc14d3e300a959
95,2006-09-21T00:00:00-04:00,2006-10-05,GOOGL,10.11,10.23,1.24,93.9,TIME,10,6f82fa9271649efc
96,2006-09-21T00:00:00-04:00,2006-09-25,AMZN,1.51,1.57,3.97,96.3,TARGET,2,f3a73841d5e1b055
97,2006-09-21T00:00:00-04:00,2006-10-05,SPY,92.47,94.8,2.51,89.3,TIME,10,ea5d398544e694be
98,2006-09-22T00:00:00-04:00,2006-09-27,AMD,26.21,25.55,-2.52,88.5,STOP,3,e4f298ce87f22bb8
99,2006-09-25T00:00:00-04:00,2006-09-26,AMD,26.77,26.1,-2.5,87.0,STOP,1,50fbd55df39be378
100,2006-09-25T00:00:00-04:00,2006-10-09,SPY,92.9,94.73,1.97,89.2,TIME,10,b17c35b2d1a15aa4
101,2006-09-25T00:00:00-04:00,2006-10-09,QQQ,34.84,35.68,2.4,87.6,TIME,10,cc1c973b05623269
102,2006-09-26T00:00:00-04:00,2006-09-27,AMD,25.99,25.34,-2.5,88.1,STOP,1,1dea8b90c486c616
103,2006-09-27T00:00:00-04:00,2006-09-28,AMD,25.32,24.69,-2.49,88.5,STOP,1,ab979d55e93db751
104,2006-10-03T00:00:00-04:00,2006-10-04,NVDA,0.43,0.45,4.65,90.3,TARGET,1,525a8120f8983718
105,2006-10-04T00:00:00-04:00,2006-10-09,NVDA,0.47,0.49,4.26,97.7,TARGET,3,68454b29f7e26922
106,2006-10-04T00:00:00-04:00,2006-10-18,QQQ,35.46,35.89,1.22,87.7,TIME,10,74954670c1a21c40
107,2006-10-09T00:00:00-04:00,2006-10-10,NVDA,0.5,0.49,-2.0,89.1,STOP,1,41d83b7afa703eb6
108,2006-10-11T00:00:00-04:00,2006-10-17,NFLX,3.34,3.26,-2.4,89.8,STOP,4,70a2ea6fa2f3bd0f
109,2006-10-11T00:00:00-04:00,2006-10-25,QQQ,35.67,36.43,2.14,87.3,TIME,10,23796b55de370285
110,2006-10-16T00:00:00-04:00,2006-10-17,NFLX,3.32,3.23,-2.71,87.5,STOP,1,3aa921ad61ce00ed
111,2006-10-17T00:00:00-04:00,2006-10-19,NFLX,3.25,3.17,-2.46,89.7,STOP,2,197d867fffbf4a49
112,2006-10-17T00:00:00-04:00,2006-10-31,QQQ,36.06,36.56,1.39,89.0,TIME,10,32a70dfa77baa4aa
113,2006-10-18T00:00:00-04:00,2006-10-24,NVDA,0.48,0.5,4.17,87.5,TARGET,4,7ccb20e5b5f4d2f0
114,2006-10-19T00:00:00-04:00,2006-10-26,AAPL,2.37,2.47,4.22,95.9,TARGET,5,1903ef2241c62e3a
115,2006-10-19T00:00:00-04:00,2006-10-23,NFLX,3.16,3.29,4.11,88.9,TARGET,2,5afebf20b6963900
116,2006-10-20T00:00:00-04:00,2006-10-23,NFLX,3.18,3.3,3.77,93.1,TARGET,1,6280005e9d64df36
117,2006-10-23T00:00:00-04:00,2006-10-24,AMZN,1.64,1.71,4.27,87.9,TARGET,1,fe2489a9a585b680
118,2006-10-23T00:00:00-04:00,2006-10-24,NFLX,3.3,3.43,3.94,98.0,TARGET,1,f70afa21da15b4d2
119,2006-10-24T00:00:00-04:00,2006-10-25,AMZN,1.68,1.75,4.17,98.0,TARGET,1,2078ea7f766dfbc3
120,2006-10-25T00:00:00-04:00,2006-11-08,QQQ,36.43,36.95,1.42,87.0,TIME,10,0fc4446a01b6defc
121,2006-10-26T00:00:00-04:00,2006-11-09,MSFT,20.02,20.67,3.23,87.4,TIME,10,23625fee4a88d4de
122,2006-10-27T00:00:00-04:00,2006-11-10,MSFT,20.02,20.65,3.15,90.1,TIME,10,5b7c7b0addd0001e
123,2006-10-31T00:00:00-05:00,2006-11-01,NVDA,0.53,0.52,-1.89,91.6,STOP,1,37e985930c7729aa
124,2006-10-31T00:00:00-05:00,2006-11-14,QQQ,36.56,37.72,3.18,87.4,TIME,10,304d2f39640de1ff
125,2006-11-01T00:00:00-05:00,2006-11-06,NVDA,0.49,0.51,4.08,95.1,TARGET,3,8469574a11ca7ab4
126,2006-11-01T00:00:00-05:00,2006-11-15,SPY,95.97,98.19,2.31,87.6,TIME,10,1d2cf25f07e509d1
127,2006-11-01T00:00:00-05:00,2006-11-14,QQQ,36.06,37.51,4.02,88.6,TARGET,9,5bccfba0e5f063b4
128,2006-11-02T00:00:00-05:00,2006-11-06,NVDA,0.49,0.51,4.08,89.5,TARGET,2,c41fa19456f7b1a8
129,2006-11-06T00:00:00-05:00,2006-11-08,NVDA,0.51,0.53,3.92,87.7,TARGET,2,74eaca874ddac2dc
130,2006-11-07T00:00:00-05:00,2006-11-21,QQQ,36.78,38.17,3.77,87.0,TIME,10,378a7e43f7779133
131,2006-11-08T00:00:00-05:00,2006-11-22,SPY,97.41,98.82,1.45,88.1,TIME,10,c9e3010d256c0057
132,2006-11-08T00:00:00-05:00,2006-11-22,QQQ,36.95,38.41,3.95,90.3,TIME,10,cd038dfae319239e
133,2006-11-09T00:00:00-05:00,2006-11-20,AAPL,2.5,2.6,4.0,89.4,TARGET,7,3858c7e0b35e2613
134,2006-11-09T00:00:00-05:00,2006-11-10,NVDA,0.54,0.53,-1.85,94.2,STOP,1,dbdc6efd21a3010a
135,2006-11-09T00:00:00-05:00,2006-11-24,SPY,96.9,98.42,1.57,88.9,TIME,10,9421c17bb6eb83b8
136,2006-11-10T00:00:00-05:00,2006-11-13,NVDA,0.53,0.55,3.77,94.8,TARGET,1,60f288731899ac16
137,2006-11-13T00:00:00-05:00,2006-11-14,NVDA,0.55,0.54,-1.82,87.5,STOP,1,7aec17fd59679bf0
138,2006-11-14T00:00:00-05:00,2006-11-29,SPY,97.91,98.51,0.61,88.9,TIME,10,7bb49e0a3c7aede2
139,2006-11-16T00:00:00-05:00,2006-11-22,AAPL,2.57,2.67,3.89,87.3,TARGET,4,fe74ef1a82d8a560
140,2006-11-27T00:00:00-05:00,2006-12-11,MSFT,20.89,20.93,0.21,87.3,TIME,10,f9ae5a6331889931
141,2006-11-27T00:00:00-05:00,2006-12-11,GOOGL,12.05,12.03,-0.19,88.1,TIME,10,a5db644e7ced19e5
142,2006-11-27T00:00:00-05:00,2006-12-01,AMZN,2.04,1.99,-2.45,87.9,STOP,4,ddc0f262e92ef75e
143,2006-11-27T00:00:00-05:00,2006-12-11,SPY,97.07,99.46,2.46,87.6,TIME,10,c4a333ddad3702fc
144,2006-11-27T00:00:00-05:00,2006-12-11,QQQ,37.47,37.83,0.97,89.3,TIME,10,b4aaaa4606362fab
145,2006-11-28T00:00:00-05:00,2006-12-12,GOOGL,12.17,11.97,-1.61,88.8,TIME,10,9b64aad0a4eadf03
146,2006-11-28T00:00:00-05:00,2006-12-12,SPY,97.49,99.38,1.94,90.2,TIME,10,34d65940f657f189
147,2006-11-29T00:00:00-05:00,2006-12-13,SPY,98.51,99.49,0.99,87.7,TIME,10,373d8d214e06c5b3
148,2006-11-29T00:00:00-05:00,2006-12-13,QQQ,37.84,37.68,-0.43,87.4,TIME,10,21ac9012bb8f8219
149,2006-12-01T00:00:00-05:00,2006-12-04,NVDA,0.54,0.56,3.7,87.9,TARGET,1,8bd092683fd40e21
150,2006-12-01T00:00:00-05:00,2006-12-15,MSFT,20.64,21.4,3.66,87.3,TIME,10,57887617ba1fef39
151,2006-12-01T00:00:00-05:00,2006-12-15,SPY,98.33,100.37,2.08,92.0,TIME,10,b0c8d1dc7ef1d413
152,2006-12-01T00:00:00-05:00,2006-12-15,QQQ,37.49,38.2,1.89,87.8,TIME,10,af0d4967ba17984b
153,2006-12-04T00:00:00-05:00,2006-12-07,AMZN,1.96,1.91,-2.55,88.2,STOP,3,2dbdca4e38f66da6
154,2006-12-07T00:00:00-05:00,2006-12-18,AAPL,2.61,2.55,-2.3,88.9,STOP,7,09d8c35e4b5348a5
155,2006-12-08T00:00:00-05:00,2006-12-22,MSFT,20.84,21.01,0.8,93.8,TIME,10,fc053b39432b02f4
156,2006-12-08T00:00:00-05:00,2006-12-22,QQQ,37.7,36.91,-2.1,87.7,TIME,10,08dcccb67df38c89
157,2006-12-11T00:00:00-05:00,2006-12-26,MSFT,20.93,21.25,1.55,92.6,TIME,10,f62d5cf3c6a4fb8d
158,2006-12-11T00:00:00-05:00,2006-12-14,NFLX,4.07,3.97,-2.46,89.2,STOP,3,177963ef622ad2ec
159,2006-12-12T00:00:00-05:00,2006-12-14,AAPL,2.59,2.69,3.86,88.6,TARGET,2,fa34f92c40970dba
160,2006-12-12T00:00:00-05:00,2006-12-14,NFLX,4.05,3.95,-2.47,87.0,STOP,2,959620116630bcf2
161,2006-12-14T00:00:00-05:00,2006-12-19,NVDA,0.56,0.59,5.36,88.9,TARGET,3,973afac2c63ef171
162,2006-12-14T00:00:00-05:00,2006-12-29,MSFT,21.31,21.16,-0.7,88.7,TIME,10,939c04793fbc3661
163,2006-12-15T00:00:00-05:00,2007-01-03,NVDA,0.57,0.56,-1.75,89.1,STOP,10,10b058810ea813ed
164,2006-12-15T00:00:00-05:00,2006-12-26,MSFT,21.4,20.86,-2.52,90.9,STOP,6,026532d3291c93f3
165,2006-12-15T00:00:00-05:00,2006-12-18,AMZN,2.0,1.95,-2.5,87.9,STOP,1,b435d853a9deaf6b
166,2006-12-18T00:00:00-05:00,2006-12-22,NVDA,0.58,0.57,-1.72,87.6,STOP,4,46faef5418ac7e3a
167,2006-12-19T00:00:00-05:00,2007-01-03,QQQ,37.7,36.76,-2.49,87.9,STOP,8,dc7826355bfcdfcc
168,2006-12-20T00:00:00-05:00,2007-01-03,AMZN,2.0,1.95,-2.5,87.0,STOP,7,dfe3dab1b8845ddc
169,2007-01-03T00:00:00-05:00,2007-01-18,SPY,99.69,100.51,0.83,91.0,TIME,10,f9ca563ca2fe8d31
170,2007-01-03T00:00:00-05:00,2007-01-12,MSFT,21.16,22.01,4.02,88.5,TARGET,7,fac2834598147bc9
171,2007-01-03T00:00:00-05:00,2007-01-04,NVDA,0.55,0.54,-1.82,97.3,STOP,1,ed1ba29996a45621
172,2007-01-04T00:00:00-05:00,2007-01-05,NVDA,0.55,0.54,-1.82,90.1,STOP,1,f3ff083021b4b378
173,2007-01-05T00:00:00-05:00,2007-01-22,SPY,99.1,100.4,1.31,88.1,TIME,10,184dc85bb1c79245
174,2007-01-08T00:00:00-05:00,2007-01-23,SPY,99.56,100.7,1.14,87.1,TIME,10,2ef9d5ecb731d73a
175,2007-01-09T00:00:00-05:00,2007-01-10,AAPL,2.78,2.89,3.96,98.0,TARGET,1,7aee6fdf181dc51c
176,2007-01-09T00:00:00-05:00,2007-01-24,SPY,99.48,101.51,2.04,87.6,TIME,10,21d947f1d373d8ff
177,2007-01-10T00:00:00-05:00,2007-01-25,SPY,99.81,100.32,0.51,87.2,TIME,10,7680ba139d3881d0
178,2007-01-11T00:00:00-05:00,2007-01-12,AAPL,2.88,2.8,-2.78,87.4,STOP,1,dcbd963710cb84b9
179,2007-01-11T00:00:00-05:00,2007-01-26,MSFT,21.76,21.69,-0.34,93.6,TIME,10,12ef50e3d2cf205b
180,2007-01-11T00:00:00-05:00,2007-01-19,GOOGL,12.42,12.11,-2.5,88.5,STOP,5,3b2088037a7c4633
181,2007-01-11T00:00:00-05:00,2007-01-18,QQQ,38.76,37.79,-2.5,91.3,STOP,4,391ba972c3a6c9a3
182,2007-01-12T00:00:00-05:00,2007-01-29,MSFT,22.12,21.57,-2.49,93.8,STOP,10,fcc300de6fc1c532
183,2007-01-18T00:00:00-05:00,2007-01-22,AAPL,2.67,2.61,-2.25,92.9,STOP,2,51729960eaa6160b
184,2007-01-18T00:00:00-05:00,2007-02-01,QQQ,37.9,37.83,-0.19,91.8,TIME,10,12fe85d5ea47ba30
185,2007-01-19T00:00:00-05:00,2007-01-30,MSFT,22.05,21.5,-2.49,89.2,STOP,7,e48afc7916cb3867
186,2007-01-25T00:00:00-05:00,2007-02-08,SPY,100.32,102.26,1.94,87.4,TIME,10,e6d32360ed761a36
187,2007-01-25T00:00:00-05:00,2007-02-05,MSFT,21.58,21.04,-2.5,91.6,STOP,7,afe15ed54e262c86
188,2007-01-26T00:00:00-05:00,2007-02-05,MSFT,21.69,21.14,-2.54,90.6,STOP,6,26db3aadb5806a93
189,2007-01-31T00:00:00-05:00,2007-02-01,GOOGL,12.46,12.15,-2.49,94.6,STOP,1,717fd0db5107ab32
190,2007-01-31T00:00:00-05:00,2007-02-14,SPY,101.37,102.68,1.29,88.8,TIME,10,a3a0231ff7d05e9e
191,2007-02-09T00:00:00-05:00,2007-02-26,SPY,101.5,102.37,0.86,87.7,TIME,10,63136c64f7d14ceb
192,2007-02-22T00:00:00-05:00,2007-02-27,SPY,102.86,100.29,-2.5,87.4,STOP,3,ba0bee4b68b74fb5
193,2007-03-28T00:00:00-04:00,2007-04-12,AAPL,2.8,2.73,-2.5,87.9,STOP,10,67fdd14330d2f12f
194,2007-04-16T00:00:00-04:00,2007-04-30,GOOGL,11.79,11.72,-0.63,87.5,TIME,10,b1e0c36af9e934f9
195,2007-04-17T00:00:00-04:00,2007-04-18,NFLX,3.42,3.34,-2.34,89.9,STOP,1,9552e1780bcd7c61
196,2007-04-18T00:00:00-04:00,2007-05-02,GOOGL,11.83,11.58,-2.14,88.9,TIME,10,b294b9018805cc3b
197,2007-04-19T00:00:00-04:00,2007-04-20,GOOGL,11.72,12.19,4.01,98.0,TARGET,1,e0f5a3b53438f8a0
198,2007-04-23T00:00:00-04:00,2007-04-26,AAPL,2.81,2.92,3.91,87.8,TARGET,3,c5d915fb570054d8
199,2007-04-24T00:00:00-04:00,2007-04-26,AAPL,2.8,2.91,3.93,92.0,TARGET,2,5bdc2773b5e0fec9
200,2007-04-25T00:00:00-04:00,2007-04-26,AAPL,2.86,2.98,4.2,93.7,TARGET,1,ac88c89700340a68
201,2007-04-26T00:00:00-04:00,2007-04-27,MSFT,20.69,21.52,4.01,91.1,TARGET,1,81866143999d89c8
202,2007-04-26T00:00:00-04:00,2007-05-07,AAPL,2.97,3.09,4.04,98.0,TARGET,7,97af3f0df3d4eedd
203,2007-05-10T00:00:00-04:00,2007-05-24,QQQ,39.74,39.71,-0.08,92.2,TIME,10,d55afb1464a6d6a9
